Date,T-HN_API
14/12/19 20:00,56.42
17/12/19 20:00,55.23
19/12/19 20:00,54.71
21/12/19 20:00,55.54
24/12/19 20:00,56.08
26/12/19 20:00,56.13
28/12/19 20:00,57.03
31/12/19 20:00,55.89
02/01/20 20:00,56.46
04/01/20 20:00,56.18
05/01/20 20:00,57.57
06/01/20 04:00,57.65
06/01/20 16:00,57.80
07/01/20 20:00,57.69
08/01/20 14:30,57.40
09/01/20 20:00,57.07
11/01/20 20:00,56.31
14/01/20 20:00,55.40
16/01/20 13:00,56.34
16/01/20 20:00,56.45
17/01/20 10:00,56.72
18/01/20 20:00,56.50
21/01/20 20:00,56.41
23/01/20 20:00,55.09
09/02/20 07:00,57.16
09/02/20 09:00,57.00
11/02/20 06:00,56.77
11/02/20 20:00,53.67
12/02/20 06:30,53.79
13/02/20 20:00,54.88
15/02/20 20:00,55.83
18/02/20 20:00,55.86
20/02/20 20:00,56.39
22/02/20 20:00,56.95
25/02/20 20:00,56.81
27/02/20 20:00,55.39
29/02/20 20:30,56.36
03/03/20 20:00,56.57
05/03/20 20:00,56.60
07/03/20 20:00,55.32
10/03/20 20:00,55.24
12/03/20 20:00,56.63
14/03/20 20:30,54.01
17/03/20 20:00,53.99
19/03/20 20:00,55.18
21/03/20 20:00,54.75
24/03/20 20:00,55.03
26/03/20 20:00,55.92
28/03/20 20:00,56.30
31/03/20 20:00,57.81
02/04/20 20:00,55.36
04/04/20 20:00,54.97
07/04/20 20:00,55.14
09/04/20 20:00,57.94
11/04/20 20:00,57.67
14/04/20 20:00,58.27
16/04/20 20:00,56.60
18/04/20 20:00,56.63
21/04/20 20:00,56.78
23/04/20 20:00,56.48
25/04/20 20:00,58.43
28/04/20 20:00,58.07
30/04/20 20:00,57.81
02/05/20 20:00,57.77
05/05/20 20:00,58.39
07/05/20 20:00,55.93
09/05/20 20:00,55.63
12/05/20 20:00,55.16
14/05/20 20:00,55.29
16/05/20 20:00,55.67
19/05/20 20:00,57.70
21/05/20 20:00,58.46
23/05/20 20:30,56.76
26/05/20 20:00,56.43
28/05/20 20:00,55.65
30/05/20 20:00,56.00
02/06/20 20:00,56.40
04/06/20 20:00,55.32
06/06/20 20:00,57.49
09/06/20 20:00,56.40
11/06/20 20:00,57.03
13/06/20 20:00,55.19
16/06/20 20:00,55.13
18/06/20 20:00,54.83
20/06/20 20:00,54.87
23/06/20 20:00,55.59
25/06/20 20:00,55.27
27/06/20 20:00,54.73
30/06/20 20:00,57.30
02/07/20 20:00,57.50
04/07/20 20:00,55.72
07/07/20 20:00,55.36
09/07/20 20:00,55.33
11/07/20 20:00,55.31
14/07/20 20:00,56.63
16/07/20 20:00,57.12
18/07/20 20:00,57.67
21/07/20 20:00,56.88
23/07/20 20:00,58.00
25/07/20 20:00,57.92
28/07/20 20:00,57.37
30/07/20 20:00,57.35
01/08/20 20:30,57.53
04/08/20 20:00,58.05
06/08/20 20:00,55.36
08/08/20 20:00,55.55
11/08/20 20:00,54.17
13/08/20 20:00,53.36
15/08/20 20:00,56.77
18/08/20 20:00,57.28
20/08/20 20:00,57.97
22/08/20 20:00,53.66
25/08/20 20:00,55.25
27/08/20 20:00,56.09
29/08/20 20:00,56.22
01/09/20 20:00,56.39
03/09/20 20:30,57.01
05/09/20 20:00,53.67
08/09/20 20:00,57.37
10/09/20 20:00,57.72
12/09/20 20:00,57.16
15/09/20 20:00,58.81
17/09/20 20:00,58.79
19/09/20 20:00,57.55
22/09/20 20:00,57.36
24/09/20 20:00,56.16
26/09/20 20:00,56.01
29/09/20 20:00,57.40
01/10/20 20:00,58.32
03/10/20 20:00,55.34
06/10/20 20:00,57.21
08/10/20 20:00,57.01
10/10/20 20:00,57.16
13/10/20 20:00,55.84
15/10/20 20:00,56.16
17/10/20 20:00,56.82
20/10/20 20:00,56.76
22/10/20 20:00,57.13
24/10/20 20:00,56.70
27/10/20 20:00,57.86
29/10/20 20:00,57.36
31/10/20 20:00,56.43
03/11/20 20:00,57.74
05/11/20 20:00,55.96
07/11/20 20:00,57.33
10/11/20 20:00,56.21
12/11/20 20:00,56.11
14/11/20 20:30,54.96
17/11/20 20:00,54.37
19/11/20 20:00,54.89
21/11/20 20:00,55.09
24/11/20 20:00,55.73
26/11/20 20:30,55.96
28/11/20 20:00,55.77
01/12/20 07:00,56.17
03/12/20 07:00,56.71
05/12/20 07:00,56.66
08/12/20 07:00,57.18
10/12/20 07:00,57.61
12/12/20 07:00,57.51
15/12/20 07:00,57.78
