Date,1-3-BDE,1-Butene,Acetylene,,C2H5SH,,C3-Lighter,,C5-C6 Plus,CH3SH,,cis-2-Butene,Cl,CO,CO2,,COS,CS2,Cu Strip @37.8oC,Density @15C,DES,DMS,Ethane,Ethylene,H2,H2S,i-Butane,"i-Butane,n-Butane",i-Butylene,i-Butyl Mercaptan,i-C3H7SH,i-Pentane,MA,Mercaptan,MES,Methane,N2,n-Butane,N-Butyl Mercaptan,n-Pentane,O2,"Pentane,Heavier",Propadiene,Propane,Propylene,sec-Butyl Mercaptan,SO2,Sp.Gr. @60/60F,Tert-Butyl Mercaptan,Thiophene,Total Cl,Total Cl,trans-2-Butene
3/27/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,5.1,0.1,0.1,,39.2,63.3,0.7,,,,0.1,,,0.1,0.1,24.1,,,,0.1,0.1,30.4,0.1,,,,,,,,0.1
4/3/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,8,0.1,0.1,,29.9,51.8,0.6,,,,0.1,,,0.2,0.1,21.9,,,,3.6,0.1,35.3,0.2,,,,,,,,0.1
4/10/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,5,0.1,0.1,,32.6,61.5,0.7,,,,0.1,,,0.2,0.1,28.9,,,,4.6,0.1,27.5,0.1,,,,,,,,0.2
4/17/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,8.4,0.1,0.1,,31.8,51.2,0.6,,,,0.1,,,0.2,0.1,19.4,,,,0.1,0.1,39,0.2,,,,,,,,0.1
4/24/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,9.7,0.1,0.1,,28.2,46.8,0.5,,,,0.1,,,0.4,0.1,18.6,,,,4.8,0.1,37.3,0.2,,,,,,,,0.1
5/1/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,5.2,0.1,0.1,,31.9,57.1,0.6,,,,0.1,,,0.1,0.1,25.2,,,,3.9,0.1,32.6,0.2,,,,,,,,0.1
5/8/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,5.3,0.1,0.1,,32.8,58.9,0.6,,,,0.1,,,0.1,0.1,26.1,,,,2.6,0.1,31.9,0.2,,,,,,,,0.2
5/15/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,6,0.1,0.1,,32.4,59.3,0.6,,,,0.1,,,0.2,0.1,26.9,,,,2.5,0.1,30.8,0.2,,,,,,,,0.2
5/22/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,4.8,0.1,0.1,,35,65.5,0.8,,,,0.1,,,0.1,0.1,30.5,,,,0.5,0.1,27.7,0.2,,,,,,,,0.2
5/29/2019 20:00,0.1,0.2,0.1,,,,,,,,,0.2,,0.1,0.1,,,,,,,,7.2,0.1,0.1,,29.9,54.4,0.9,,,,0.1,,,0.2,0.1,24.5,,,,3.2,0.1,33.3,0.2,,,,,,,,0.2
6/5/2019 20:00,0.1,0.2,0.1,,,,,,,,,0.2,,0.1,0.1,,,,,,,,9.2,0.1,0.1,,26.4,52.4,0.9,,,,0.1,,,0.3,0.1,26,,,,0.7,0.1,35.5,0.3,,,,,,,,0.3
6/12/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,5.8,0.1,0.1,,30.9,52.6,0.6,,,,0.1,,,0.1,0.1,21.7,,,,5.8,0.1,34.6,0.2,,,,,,,,0.1
6/19/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,3.6,0.1,0.1,,36,62.2,0.8,,,,0.1,,,0.1,0.1,26.2,,,,1.2,0.1,31.6,0.2,,,,,,,,0.2
6/23/2019 12:00,,,,,0.5,,,,,0.5,,,,,,,0.5,0.5,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
